figure_title,company,priority,n_tagged_questions,n_firm
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba (Qwen),evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba (Qwen),system_design,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale,unclear,3,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale,coding,3,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Cognition (Devin, Windsurf)",agent_reliability,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Cognition (Devin, Windsurf)",system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Cognition (Devin, Windsurf)",unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.","Cognition (Devin, Windsurf)",evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Consumer-Scale ML Companies,agent_reliability,1,1
